Programtervező informatikus BSc_N (2017) [BSZKPTI-N1] mintatanterv,,,,,,,,,,,,,,,,,,,,,,,
,Sorkód,Név,Félév,Felvétel típus,Kurustípus,Heti óraszám,Féléves óraszám,Kredit,Ebből teljesítendő kredit,Teljesítendő csoport,Teljesítendő tárgy,Előfeltétel,,,,,,,,,,,
◼◼◼,TE‑IB041G,Multimédia gyakorlat,,Kötelezően választható,,,,,2,,1,,,,,,,,,,,,
◼◼◼◼,IB041g,Multimédia gyak.,3,Kötelezően választható,Labor,1,,2,,,,,,,,,,,,,,,
◼◼,TT‑IB075,Digitális topológia és matematikai morfológia,,Kötelezően választható,,,,,3,,,,,,,,,,,,,,
◼◼◼,TE‑IB075E,Digitális topológia és matematikai morfológia előadás,,Kötelezően választható,,,,,3,,1,,,,,,,,,,,,
◼◼◼◼,IB001e‑00095,Digitális topológia és matematikai morfológia,0,Kötelezően választható,Előadás,2,,3,,,,,,,,,,,,,,,
◼◼,TT‑IB076,Digitális képek szegmentálása,,Kötelezően választható,,,,,3,,,,,,,,,,,,,,
◼◼◼,TE‑IB076E,Digitális képek szegmentálása előadás,,Kötelezően választható,,,,,3,,1,,,,,,,,,,,,
◼◼◼◼,IB001e‑00087,Digitális képek szegmentálása,3,Kötelezően választható,Előadás,2,,3,,,,,,,,,,,,,,,
◼◼,TT‑IB411,Számítógéppel támogatott tervezés,,Kötelezően választható,,,,,3,,,,,,,,,,,,,,
◼◼◼,TE‑IB411E,Számítógéppel támogatott tervezés előadás,,Kötelezően választható,,,,,3,,1,,,,,,,,,,,,
◼◼◼◼,IB411e‑00001,Számítógéppel támogatott tervezés,3,Kötelezően választható,Előadás,2,,3,,,,,,,,,,,,,,,
◼◼,TT‑IB414‑2,Alkalmazásfejlesztés I.,,Kötelezően választható,,,,,3,2,,,,,,,,,,,,,
◼◼◼,TE‑IB414‑2E,Alkalmazásfejlesztés I. előadás,,Kötelezően választható,,,,,1,,1,,,,,,,,,,,,
◼◼◼◼,IB414‑2E,Alkalmazásfejlesztés I.,4,Kötelezően választható,Előadás,1,,1,,,,,,,,,,,,,,,
